station_id,name,latitude,longitude,town,num_connections,connector_type,power_kw
309339,DivyaSree LitBox,12.97098961190295,77.7250244631253,Bengaluru,1,CCS (Type 2),60.0
311451,Metro Cash&Carry,12.8610658784023,77.66099764437081,Bengaluru,1,Type 2 (Tethered Connector) ,7.4
308885,Shell Yelahanka New Town,13.098,77.5658,Bengaluru,1,CCS (Type 2),120.0
309338,Marriott Hotel Whitefield,12.979262407836174,77.72744812682743,Bengaluru,1,CCS (Type 2),30.0
309337,Nexus Shantiniketan Jio-BP,12.989040024957774,77.72758362256013,Bengaluru,1,CCS (Type 2),60.0
309336,Nexus Shantiniketan - Statiq,12.989065694796125,77.72760379808074,Bengaluru,7,CCS (Type 2),60.0
309340,"Jio-bp Pulse Hub, Siddhapura",12.957173268150797,77.72954555409183,Bengaluru,3,CCS (Type 2),60.0
308920,JioBP Pulse Charging Hub - Electronic City Phase II,12.86462,77.67486,Bengaluru,4,CCS (Type 2),60.0
309186,Jio BP Charging Hub Chikkagubbi ,13.087848141186939,77.66014774782752,Bengaluru,3,CCS (Type 2),60.0
309335,Sheraton Grand Bengaluru Whitefield Hotel & Convention Center,12.989215375302493,77.72961910576282,Bengaluru,1,CCS (Type 2),30.0
308886,Shell Recharge Kogilu Road,13.1043,77.60448,Bengaluru,2,CCS (Type 2),120.0
309334,Divyasree NR Enclave,12.986347110711023,77.73038387486008,Bengaluru,1,CCS (Type 2),60.0
308897,Shell Recharge Prestige Shantiniketan,12.992,77.7299,Bengaluru,3,CCS (Type 2),30.0
308679,Kengeri Charging Hub,12.9055171580421,77.47375007379192,Bengaluru,1,CCS (Type 2),75.0
311454,Electronic City - BPCL,12.85327,77.6672,Bengaluru,1,CCS (Type 2),30.0
309333,Park Square Mall,12.987280089618991,77.73628236461366,Bengaluru,1,CCS (Type 2),25.0
103603,Ather Grid Point - Ascendas Park square mall,12.9872191,77.7364744,Bangalore,1,Unknown,3.0
309318,Jio-BP Pulse Varthur Hub,12.93979,77.73447,Bengaluru,5,CCS (Type 2),60.0
309332,Taj Vivanta Whitefield,12.98720238234145,77.7373662993079,Bengaluru,2,CCS (Type 2),30.0
103604,"International Tech Park, Bangalore",12.985420937588,77.7385128788513,Bangalore,1,Unknown,3.0
309076,Hotel Kadamba Veg,12.9019345,77.4689096,Bengaluru,1,CCS (Type 2),24.0
311452,BloomSuites,12.839685411251565,77.65952566488613,Bengaluru,1,CCS (Type 2),30.0
309185,Jaguar Land Rover Cars Airport Road,13.11756,77.60923,Bengaluru,3,CCS (Type 2),50.0
311453,Monk Mansion,12.841088856819354,77.66441658541129,Bengaluru,2,CCS (Type 2),60.0
309330,Nexus Whitefield Statiq,12.960076399887868,77.74719391663552,Bengaluru,7,CCS (Type 2),60.0
309329,Nexus Whitefield Jio-BP,12.960076399887868,77.74719391663552,Bengaluru,2,CCS (Type 2),60.0
103615,Ather Grid Point - Herbs and Spices,12.9679246469975,77.7497762255596,Bengaluru,1,Unknown,3.0
308918,Blusmart Charging Station Electronic City Phase 1,12.82734,77.65552,Bengaluru,4,CCS (Type 2),60.0
309331,The Zinc By Fern Hotels,12.97757571689229,77.7570895079167,Bengaluru,1,CCS (Type 2),24.0
308895,Shell Recharge Avalahalli,13.04041,77.74131,Bandapura,3,CCS (Type 2),120.0
309148,Kia India Training Center,13.05242,77.74675,Bengaluru,1,CCS (Type 2),150.0
308894,Shell Recharge Budigere,13.06226,77.74273,,3,CCS (Type 2),120.0
309149,Orion Uptown Mall,13.05515,77.7638,Bengaluru,2,CCS (Type 2),60.0
309158,Jio BP Chikkajala,13.16554,77.62933,Bengaluru,1,CCS (Type 2),60.0
508924,DS Max Sky Fields,12.954683,77.801405,,1,Type 2 (Tethered Connector) ,7.0
309352,Miracle Dhaba,13.08468,77.41488,Bengaluru,1,CCS (Type 2),60.0
308893,Shell Recharge Mahadeva Kodigehalli,13.15446,77.70277,Bengaluru,1,CCS (Type 2),30.0
308661,Jio BP Nelamangala,13.086525423479687,77.4084730159021,Arasinakunte,1,CCS (Type 2),60.0
308919,Jio BP Chandapura,12.79284,77.72766,Bengaluru,1,CCS (Type 2),60.0
309150,GAIL Gas Station -Tata Power,13.15341,77.72827,Bengaluru,1,CCS (Type 2),30.0
